blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
2482B041,2903 ARUNAH AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2949732106, -76.6654944674)",01/01/111413
0012 076,1648 N MONROE ST,EASTERWOOD,7,WESTERN,"(39.307626968, -76.6482855773)",01/01/112107
6159 011,321 LONEYS LANE,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.2962264579, -76.5724519857)",01/01/91914
2548 007,20 S AUGUSTA AVE,IRVINGTON,8,SOUTHWESTERN,"(39.2853750204, -76.685221751)",01/01/21711
1661 031,510 N ELLWOOD AVE,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.2973467399, -76.5739105403)",01/01/121412
2366 014,2506 MOSHER ST,BRIDGEVIEW/GREENLAWN,9,WESTERN,"(39.2997967425, -76.6569027388)",01/01/51811
2174A016,2422 FREDERICK AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2840703272, -76.6552711176)",01/01/82007
1131 004,1006 E HOFFMAN ST,OLIVER,12,EASTERN,"(39.3062546621, -76.6035325905)",01/01/102805
2418 061,1617 POPLAR GROVE ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3065120565, -76.6653490648)",01/01/71813
2425 001A,3012 PRESBURY ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3072844218, -76.6679851485)",01/01/30513
1467 014,1625 RUTLAND AVE,BROADWAY EAST,12,EASTERN,"(39.3094943203, -76.5926399844)",01/01/40808
2167B028,2558 W FAYETTE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2890480693, -76.6581194652)",01/01/93010
7056 005A,520 MAUDE AVE,BROOKLYN,10,SOUTHERN,"(39.238945095, -76.602072732)",01/01/12513
0780 013,1127 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.282208076, -76.6330308842)",01/01/32913
1458 024,1923 E LAFAYETTE AVE,BROADWAY EAST,12,EASTERN,"(39.3106181287, -76.5908690214)",01/01/91807
2205 055,2411 LAURETTA AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.2938877053, -76.6551394551)",01/01/122011
0249 030,105 S CAREY ST,HOLLINS MARKET,9,SOUTHERN,"(39.2862166542, -76.6377419751)",01/01/102811
6048 015,5430 FORCE ROAD,FRANKFORD,2,NORTHEASTERN,"(39.3215249874, -76.5388530894)",01/01/20414
4168 010,2019 N WASHINGTON ST,SOUTH CLIFTON PARK,12,EASTERN,"(39.3137336367, -76.5902157059)",01/01/72406
4029 019,2331 SHERWOOD AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3159173374, -76.5971294644)",01/01/41311
7841 052,1902 GRIFFIS AVE,MORRELL PARK,10,SOUTHWESTERN,"(39.2674614916, -76.6506952416)",01/01/62613
0114 055,626 N ARLINGTON AVE,HARLEM PARK,9,WESTERN,"(39.2962529745, -76.6359900159)",01/01/42208
0396 042,1307 DIVISION ST,UPTON,11,CENTRAL,"(39.3014346247, -76.6295685243)",01/01/30508
3210 054,1915 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.3112555584, -76.6488101553)",01/01/122107
0096 058,1832 HARLEM AVE,HARLEM PARK,9,WESTERN,"(39.2965965469, -76.6470987659)",01/01/41008
1628 057,2820 E MONUMENT ST,MADISON-EASTEND,13,EASTERN,"(39.2992267397, -76.5772735128)",01/01/102811
4583 008,3216 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3472732743, -76.6743971172)",01/01/92713
0394 041,1329 ARGYLE AVE,UPTON,11,CENTRAL,"(39.3002547921, -76.6319701519)",01/01/72409
3347 031,2525 OSWEGO AVE,GREENSPRING,6,NORTHERN,"(39.3365731281, -76.6599594685)",01/01/123108
1155 082,725 MURA ST,JOHNSTON SQUARE,12,EASTERN,"(39.304196575, -76.6071023141)",01/01/111513
2448 017,1148 N LONGWOOD ST,WINCHESTER,9,SOUTHWESTERN,"(39.3011031996, -76.6675759192)",01/01/120407
4622 029,4743 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3451438137, -76.6707106187)",01/01/91214
1102 069,1621 E NORTH AVE,OLIVER,12,EASTERN,"(39.3117657878, -76.5962365952)",01/01/110904
0469 006,813 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.2959145016, -76.6314580195)",01/01/111004
4577A002,3624 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3447483923, -76.6783350006)",01/01/110812
2165 007,47 N CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2889475647, -76.6563253685)",01/01/51913
0264 088,1412 KUPER ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2851290961, -76.6399666238)",01/01/21108
3206 014,2028 W NORTH AVE,MONDAWMIN,7,WESTERN,"(39.3099191584, -76.6508889112)",01/01/110410
3411 001,2500 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.3132630303, -76.6414206339)",01/01/10909
0058 004,1906 MOSHER ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.3000083522, -76.6478730394)",01/01/111808
0071 076,903 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2991110324, -76.6481502345)",01/01/61908
1102 052,1830 N BROADWAY,OLIVER,12,EASTERN,"(39.3114851105, -76.5954756481)",01/01/110105
1646 029,3031 E MONUMENT ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.2989794707, -76.5741243269)",01/01/41108
3326 008,3414 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.326523869, -76.6580028725)",01/01/71814
0276 049,1704 RAMSAY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2834001446, -76.6440197117)",01/01/30107
2518 058,811 WICKLOW ROAD,ROGNEL HEIGHTS,8,SOUTHWESTERN,"(39.2962565089, -76.687919119)",01/01/12715
1658 052,2702 JEFFERSON ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2970352214, -76.5788729278)",01/01/42409
2406 073,1724 N DUKELAND ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3078539891, -76.663833439)",01/01/90313
1642 031,616 N LAKEWOOD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2984685104, -76.5796837829)",01/01/13015
1553 074,2207 HENNEMAN AVE,MIDDLE EAST,13,EASTERN,"(39.3039403224, -76.5864533344)",01/01/32310
0275 072,1843 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.284039838, -76.6462530817)",01/01/12908
2808 002,3706 CLIFTON AVE,MOUNT HOLLY,7,SOUTHWESTERN,"(39.311007328, -76.680113719)",01/01/91113
5898H100,4010 EIERMAN AVE,ARCADIA,3,NORTHEASTERN,"(39.3303531085, -76.5661194602)",01/01/80910
2175 084,2526 BOYD ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2863192015, -76.657227215)",01/01/92408
1459 082,1727 N WASHINGTON ST,BROADWAY EAST,12,EASTERN,"(39.31040046, -76.5900263974)",01/01/32812
1152 021,430 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,"(39.3038860626, -76.6096042094)",01/01/60910
1694 053,2802 PULASKI HWY,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2951290736, -76.5773070009)",01/01/72414
1463 048,1712 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.3103228337, -76.584675586)",01/01/101112
0363 039,426 MOSHER ST,UPTON,11,CENTRAL,"(39.3038278638, -76.6305574775)",01/01/83011
1464 082,1713 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.3103426286, -76.5841809195)",01/01/10913
0020 049E,1830 PRESSTMAN ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3054388198, -76.6475130135)",01/01/21011
0288 068,448 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.281942336, -76.6519967669)",01/01/71012
0077 013,1331 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2998348013, -76.6397101445)",01/01/51408
4575 011,3719 W BELVEDERE AVE,LANGSTON HUGHES,6,NORTHWESTERN,"(39.3457505341, -76.6804006973)",01/01/33009
0275 132,1809 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2836127487, -76.645490866)",01/01/72513
0698 042,2044 WILKENS AVE,CARROLLTON RIDGE,9,SOUTHERN,"(39.2815132171, -76.6490440015)",01/01/40414
3347C052,2643 LOYOLA SOUTHWAY,GREENSPRING,6,NORTHERN,"(39.3366992918, -76.6621484313)",01/01/120307
0078 011,1236 W LAFAYETTE AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299298319, -76.6385760877)",01/01/82214
0260 084,1815 DOVER ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2846292485, -76.6456526253)",01/01/90109
0204 088,2214 BOOTH ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2875221329, -76.6521897768)",01/01/52306
0313 019,535 BLOOM ST,UPTON,11,CENTRAL,"(39.3071365429, -76.637509642)",01/01/22509
0179 027,103 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,"(39.2898836093, -76.6449744524)",01/01/72108
0083 087,817 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2982000397, -76.6480981716)",01/01/101008
2382 035,2706 PROSPECT ST,MOSHER,9,WESTERN,"(39.2988147564, -76.6622507997)",01/01/72806
1477 033,1723 E FEDERAL ST,BROADWAY EAST,12,EASTERN,"(39.3083874568, -76.5935706396)",01/01/72407
3406 037,2456 WOODBROOK AVE,PENN NORTH,7,WESTERN,"(39.3110804234, -76.642244365)",01/01/100114
0064 014,1326 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3003514813, -76.6395714743)",01/01/50107
0260 064,1802 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2844711103, -76.64538014)",01/01/51809
3445 011,2220 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.3133104937, -76.6317043922)",01/01/111414
2939 014,3817 SEQUOIA AVE,CALLAWAY-GARRISON,6,NORTHWESTERN,"(39.3319240012, -76.6803256338)",01/01/121914
2109 066A,2417 CHRISTIAN ST,MILLHILL,9,SOUTHWESTERN,"(39.2799930263, -76.6545080336)",01/01/30105
2411 021,2919 WESTWOOD AVE,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3079149971, -76.6666334542)",01/01/53113
2455 009,3219 PRESSTMAN ST,ROSEMONT,9,SOUTHWESTERN,"(39.3041700748, -76.671277228)",01/01/62310
0196 046,1500 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2886466326, -76.6411317819)",01/01/42506
3325 016,3530 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3290434518, -76.6591172239)",01/01/60713
1568 007,1015 N WASHINGTON ST,MIDDLE EAST,13,EASTERN,"(39.3026493252, -76.589592197)",01/01/12215
1447 039,1835 E NORTH AVE,BROADWAY EAST,12,EASTERN,"(39.3120163911, -76.5919654411)",01/01/61614
1504 040,2408 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.3070289987, -76.583884816)",01/01/100609
0206 025,19 S PULASKI ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2873186169, -76.6497981797)",01/01/22613
4137 060,2806 THE ALAMEDA,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.323402002, -76.5935183659)",01/01/31814
0315 016,2030 MCCULLOH ST,DRUID HEIGHTS,11,CENTRAL,"(39.3084913147, -76.6354901215)",01/01/32515
2230F021,41 N ABINGTON AVE,CARROLL-SOUTH HILTON,9,SOUTHWESTERN,"(39.2869748772, -76.670972703)",01/01/100611
3951 025,1720 E 28TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3240836322, -76.5912648931)",01/01/121214
0294 043,1729 N CAREY ST,PENN NORTH,7,WESTERN,"(39.3094409069, -76.643012595)",01/01/121710
0126 012,524 N CARROLLTON AVE,HARLEM PARK,9,WESTERN,"(39.2949148658, -76.6373885209)",01/01/111908
0119 062,1906 LAURETTA AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2946344287, -76.6478568875)",01/01/102406
0118 032,2029 EDMONDSON AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2948644898, -76.6499548922)",01/01/91107
4594 018,5035 QUEENSBERRY AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3498689437, -76.6714917475)",01/01/73013
0303 048,504 GOLD ST,DRUID HEIGHTS,7,CENTRAL,"(39.3089214978, -76.6378331951)",01/01/32310
0274 057,1933 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2839999884, -76.6479059553)",01/01/80112
4584 012,3115 W BELVEDERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3493722333, -76.6745326471)",01/01/13015
2140 052,2654 LEHMAN ST,MILLHILL,9,SOUTHWESTERN,"(39.2807250569, -76.6582541002)",01/01/120914
3445 013,2224 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.3134095517, -76.63170654)",01/01/13015
0416 016,1239 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.3020645146, -76.6282528894)",01/01/72905
1468 013,1625 N WOLFE ST,BROADWAY EAST,12,EASTERN,"(39.3092402421, -76.5913073045)",01/01/101410
4605A014,4937 EDGEMERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3452218209, -76.6743732028)",01/01/62609
4123A059,1722 MONTPELIER ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3197272325, -76.5946740075)",01/01/30210
0221 044,114 S CALVERTON ROAD,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2865449098, -76.6521848859)",01/01/22305
4020 003,704 E 21ST ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3137814692, -76.6081932259)",01/01/121511
3973C024,723 SPRINGFIELD AVE,PEN LUCY,4,NORTHERN,"(39.3409304471, -76.6055993195)",01/01/101907
4587 042,3041 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3491209007, -76.6729729538)",01/01/31412
0271 054,349 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2831496859, -76.6517038629)",01/01/113006
2243B042,146 PALORMO AVE,SAINT JOSEPHS,8,SOUTHWESTERN,"(39.2834274444, -76.6754036624)",01/01/11714
0106 065,626 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2958741362, -76.6493409078)",01/01/11411
4178I040,3434 RAVENWOOD AVE,FOUR BY FOUR,13,NORTHEASTERN,"(39.3154972013, -76.5747586815)",01/01/40314
1505 047,1433 N MILTON AVE,BEREA,13,EASTERN,"(39.3078410739, -76.5826191912)",01/01/111307
0163 006,1810 W LEXINGTON ST,FRANKLIN SQUARE,9,WESTERN,"(39.2908121422, -76.6461167328)",01/01/51310
2297 007,412 N LOUDON AVE,ALLENDALE,8,SOUTHWESTERN,"(39.2920668111, -76.682755287)",01/01/111414
5140N015,928 SAINT DUNSTANS ROAD,CAMERON VILLAGE,4,NORTHERN,"(39.3594959137, -76.600808422)",01/01/12215
0699 076,1936 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2825323769, -76.6477576281)",01/01/30615
0228 018,1735 HOLLINS ST,UNION SQUARE,9,SOUTHERN,"(39.2870558889, -76.6449785369)",01/01/32406
0258 055,200 HARMISON ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2846890498, -76.6493491654)",01/01/12315
2136 038,2695 SAINT BENEDICT ST,MILLHILL,9,SOUTHWESTERN,"(39.2786068105, -76.6584478276)",01/01/113012
3207 002,1902 W NORTH AVE,MONDAWMIN,7,WESTERN,"(39.3100313725, -76.648360952)",01/01/83112
3936 079,2710 FENWICK AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3226856482, -76.5901007567)",01/01/100413
7900 068,4630 COLEHERNE ROAD,HUNTING RIDGE,8,SOUTHWESTERN,"(39.2951169589, -76.6955219171)",01/01/62613
0322 037,1915 DRUID HILL AVE,DRUID HEIGHTS,11,CENTRAL,"(39.3071341603, -76.6345231737)",01/01/72105
0163 074,218 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,"(39.2910699821, -76.64563219)",01/01/72512
3209 033,1827 CLIFTON AVE,MONDAWMIN,7,WESTERN,"(39.3117486781, -76.6478869446)",01/01/50914
0096 086,1829 RAYNER AVE,HARLEM PARK,9,WESTERN,"(39.2968279566, -76.6469796847)",01/01/120211
1767 010,2219 GOUGH ST,UPPER FELLS POINT,1,SOUTHEASTERN,"(39.2877404745, -76.585321514)",01/01/121211
3518C028,1501 W 36TH ST,HAMPDEN,7,NORTHERN,"(39.3299069345, -76.6389239464)",01/01/13112
2218 051,407 POPLAR GROVE ST,PENROSE/FAYETTE STREET OUTREACH,9,SOUTHWESTERN,"(39.2927836432, -76.6646016462)",01/01/60614
1651 014,527 N CASTLE ST,CARE,13,EASTERN,"(39.2970390989, -76.5883822945)",01/01/82112
0850 087,845 REINHARDT ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2823631803, -76.6304423537)",01/01/21215
0258 045,218 S PAYSON ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2843586608, -76.6486910226)",01/01/91708
4581 006,5010 DENMORE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346789654, -76.6755057601)",01/01/42407
0194 042,4 N MOUNT ST,FRANKLIN SQUARE,9,WESTERN,"(39.2885685325, -76.6440986101)",01/01/61312
0049 005,1108 N MONROE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.3011533641, -76.6479072723)",01/01/42310
2325 037,2136 PRESSTMAN ST,EASTERWOOD,7,WESTERN,"(39.3052759555, -76.6520733573)",01/01/102913
0207 016,27 S PAYSON ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2871991283, -76.6483534794)",01/01/32814
0313 034,2049 PENNSYLVANIA AVE,UPTON,11,CENTRAL,"(39.306700444, -76.6381711559)",01/01/40507
5928 046,4237 SHELDON AVE,BELAIR-EDISON,2,NORTHEASTERN,"(39.3279042623, -76.564070081)",01/01/51812
3301 135M,3303 SAINT AMBROSE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3419642969, -76.6703609136)",01/01/70912
2362 005,2522 EDMONDSON AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.2949609665, -76.6571034057)",01/01/92713
3208 045,1809 WALBROOK AVE,MONDAWMIN,7,WESTERN,"(39.3107091296, -76.6472071987)",01/01/81406
1609 084,815 N ROSE ST,MILTON-MONTFORD,13,EASTERN,"(39.3005250751, -76.5815070911)",01/01/13007
1458 056,1914 E LANVALE ST,BROADWAY EAST,12,EASTERN,"(39.3099212726, -76.591100088)",01/01/22509
1509 031,1428 N POTOMAC ST,BEREA,13,EASTERN,"(39.3080093926, -76.5760822095)",01/01/32015
1646 034E,614 N ELLWOOD AVE,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.2986552776, -76.5739924148)",01/01/60914
0129 104,930 BENNETT PL,HARLEM PARK,9,WESTERN,"(39.295149991, -76.6332084477)",01/01/121914
2382 031,2757 MOSHER ST,MOSHER,9,WESTERN,"(39.2990134032, -76.6632595531)",01/01/73007
1478 043,1512 N WOLFE ST,BROADWAY EAST,12,EASTERN,"(39.3079355718, -76.5917179946)",01/01/82207
0079 031,910 N ARLINGTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2998288432, -76.6362358781)",01/01/120312
0293 050,704 CUMBERLAND ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3086651099, -76.6428876841)",01/01/42512
3307A027,2629 ROSEWOOD AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3383881892, -76.6648175744)",01/01/101107
1636 013,625 N CASTLE ST,CARE,13,EASTERN,"(39.2979948711, -76.5884244867)",01/01/52011
2482B043,2907 ARUNAH AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2949685273, -76.6655943747)",01/01/90211
1148 007,1313 N CENTRAL AVE,OLIVER,12,EASTERN,"(39.3055392442, -76.6002549274)",01/01/11806
7138 001,4105 TOWNSEND AVE,BROOKLYN,10,SOUTHERN,"(39.2285396093, -76.6021675176)",01/01/92305
0280 092,302 S NORRIS ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2841796015, -76.6401334909)",01/01/101607
4004 002,1002 E NORTH AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3119233423, -76.6049694221)",01/01/12711
1416 009,201 S CENTRAL AVE,WASHINGTON HILL,12,SOUTHEASTERN,"(39.2886448596, -76.5989439245)",01/01/103112
7190 028,4805 PENNINGTON AVE,CURTIS BAY,10,SOUTHERN,"(39.2228111771, -76.5879744551)",01/01/11206
0121 048,515 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.2943123259, -76.6452463776)",01/01/42307
2169 033,2707 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2881392493, -76.6595758872)",01/01/52311
3406 024,2430 WOODBROOK AVE,PENN NORTH,7,WESTERN,"(39.3107260466, -76.6418186469)",01/01/33006
4137 051,2812 KENNEDY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3233755626, -76.5940509086)",01/01/30813
0239 021,215 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2843183573, -76.6517955697)",01/01/63014
3936 002,2850 HARFORD ROAD,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3224398885, -76.5896747414)",01/01/71612
1604 052,800 N CASTLE ST,MIDDLE EAST,13,EASTERN,"(39.2999799133, -76.5890484313)",01/01/32310
3341 003,3805 PARK HEIGHTS AVE,GREENSPRING,6,NORTHERN,"(39.3323877297, -76.6605747002)",01/01/62608
1499 024,2046 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.3068396146, -76.5888310023)",01/01/31214
3814 010,2119 BARCLAY ST,BARCLAY,12,EASTERN,"(39.3140631079, -76.6108450081)",01/01/102513
1653 054,2211 MCELDERRY ST,CARE,13,EASTERN,"(39.2974160355, -76.5862367898)",01/01/123005
4156 008,1768 E NORTH AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.3124477052, -76.5931790569)",01/01/50214
4604 004,4806 WILERN AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3441438804, -76.6748437488)",01/01/101907
1534 039,1215 N CHESTER ST,BROADWAY EAST,13,EASTERN,"(39.3052031143, -76.5880063241)",01/01/21208
0702 026,609 S SMALLWOOD ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2803010274, -76.6500126644)",01/01/122204
7868B003A,2357 WASHINGTON BLVD,MORRELL PARK,10,SOUTHWESTERN,"(39.2686043924, -76.6499501647)",01/01/111014
2441 034,1609 N HILTON ST,ROSEMONT,9,SOUTHWESTERN,"(39.3060786701, -76.6718150191)",01/01/41409
1642 051,2613 E MONUMENT ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2987273645, -76.5804469635)",01/01/30206
4580 035,3306 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3472678798, -76.6768683433)",01/01/12413
0338 015,1728 DIVISION ST,UPTON,11,CENTRAL,"(39.3046319939, -76.6342730834)",01/01/101107
1463 090,1730 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.3105714928, -76.5852892634)",01/01/112311
3312 043,4023 REISTERSTOWN ROAD,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.334718394, -76.6643631181)",01/01/91605
0061 020,1609 RIGGS AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3008638409, -76.6436132678)",01/01/21508
4005 051,1113 E 20TH ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3125916031, -76.603408752)",01/01/61908
0083 035,817 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2981706687, -76.6489472546)",01/01/50510
0055C043,1144 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3021486657, -76.6377258766)",01/01/90210
0094 010,700 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2966587631, -76.6493858633)",01/01/110904
3013 053,2916 WALBROOK AVE,WALBROOK,7,SOUTHWESTERN,"(39.3104932501, -76.6668260578)",01/01/31506
2243C039A,45 S MORLEY ST,SAINT JOSEPHS,8,SOUTHWESTERN,"(39.2856341917, -76.6748577399)",01/01/31413
4605 008,4816 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3455799129, -76.6721717758)",01/01/20515
0149 043,308 N BRUCE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2923164731, -76.6448477004)",01/01/100813
3312 044,4021 REISTERSTOWN ROAD,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3346737821, -76.6643212564)",01/01/40809
1122 039,1521 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3076082536, -76.6029311387)",01/01/120408
2170B027,2526 W BALTIMORE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2879016788, -76.6572498359)",01/01/80612
1182 029,711 E CHASE ST,JOHNSTON SQUARE,12,EASTERN,"(39.3025293733, -76.6069598343)",01/01/22608
2170A049,2501 W FAYETTE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2887499702, -76.6566631268)",01/01/81712
4616 118,4826 PALMER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3466456598, -76.671491306)",01/01/32908
4580 033,3312 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3471618504, -76.6770321165)",01/01/30708
4588 010,5119 QUEENSBERRY AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3505927998, -76.6720169372)",01/01/50411
2297 002,402 N LOUDON AVE,ALLENDALE,8,SOUTHWESTERN,"(39.2917952458, -76.6827357056)",01/01/70808
3913 037,711 CATOR AVE,PEN LUCY,4,NORTHERN,"(39.3388535933, -76.6060021092)",01/01/42913
0300C083,1546 N WOODYEAR ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3067595658, -76.6413395558)",01/01/21315
0178 047,1820 W FAYETTE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2897392996, -76.6460765668)",01/01/100113
0176 050,118 N PAYSON ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2901575179, -76.6490428443)",01/01/80512
1645 053,2926 MCELDERRY ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.2981808045, -76.5756155391)",01/01/120111
0298 062,500 SANFORD PL,DRUID HEIGHTS,7,CENTRAL,"(39.3095984715, -76.6405949132)",01/01/121914
6242D018,704 DEBELIUS AVE,PULASKI INDUSTRIAL AREA,2,SOUTHEASTERN,"(39.3014323195, -76.5442082149)",01/01/81910
4019 009,516 E 21ST ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3137534327, -76.6089435067)",01/01/52005
1237 073,731 AJAX ST,OLDTOWN,12,EASTERN,"(39.2985683422, -76.6045676054)",01/01/91907
0076 022,1423 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2998394413, -76.6409940857)",01/01/52114
