TAG,LAST_ORG,CAPTURE_ME,LAST_USER,EDIT_DATE,BLOCKNUM,PARCELNUM,PIN,CNTGRAPH,BLOCKLOT,SUBTYPE_GE,SHAPE_Leng,SHAPE_Area,FULLADDR,STDIRPRE,ST_NAME,ST_TYPE,BLDG_NO,UNIT_NUM,area
600000000145511,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0499,083,0499083,83,0499 083,1,83.883400402,304.161700552,539 ORCHARD ST,,ORCHARD,ST,539,,28.3378635
600000000201534,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0777,055,0777055,55,0777 055,1,153.448834283,740.994456308,1448 CARROLL ST,,CARROLL,ST,1448,,69.058997
600000000118352,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",2315,055,2315055,55,2315 055,1,250.323130106,1583.06594446,1650 N WARWICK AVE,N,WARWICK,AVE,1650,,147.422632
600000000103375,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",3408,117,3408117,117,3408 117,1,155.185330222,765.002259722,2516 SALEM ST,,SALEM,ST,2516,,71.2704136
600000000031835,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4553,021,4553021,21,4553 021,1,349.990189538,7499.43812398,5217 DENMORE AVE,,DENMORE,AVE,5217,,698.569343
600000000076452,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4149J,039,4149J039,39,4149J039,1,211.911742086,790.470305196,0,,,,0,,73.6245807
600000000178652,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0222,062A,0222062A,62A,0222 062A,1,126.854043084,646.442217163,0,,,,0,,60.2443134
600000000145962,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1654,068,1654068,68/78,1654 068,1,166.271550693,919.295897022,2302 JEFFERSON ST,,JEFFERSON,ST,2302,,85.683658
600000000114178,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",2429,002,2429002,2,2429 002,1,427.417793782,8435.74668445,3205 W NORTH AVE,W,NORTH,AVE,3205,,785.671446
600000000039143,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4605,051,4605051,51,4605 051,1,249.062107968,1593.51681071,4907 DENMORE AVE,,DENMORE,AVE,4907,,148.438016
600000000219190,120,BLK,,"PyQt4.QtCore.QDate(2001, 7, 17)",7567A,027,7567A027,27/47,7567A027,1,1149.87933405,68941.0647892,0,,,,0,,6422.53668
600000000212507,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",6607K,005B,6607K005B,5B,6607K005B,1,1125.27468332,66538.4872299,2111 S CLINTON ST,S,CLINTON,ST,2111,,6198.50767
600000000116148,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1477,096,1477096,96,1477 096,1,153.730892555,823.49325707,1505 N REGESTER ST,N,REGESTER,ST,1505,,76.7241451
600000000109613,120,BLK,,"PyQt4.QtCore.QDate(2001, 7, 17)",6234,018,6234018,18,6234 018,1,140.249919518,865.157950531,1233 63RD ST,,63RD,ST,1233,,80.5998143
600000000103387,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",3603,030,3603030,30/31,3603 030,1,363.665723217,4811.94769822,2004 N CHARLES ST,N,CHARLES,ST,2004,,448.354455
600000000028443,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",5173,106,5173106,106,5173 106,1,95.9977380494,379.956389793,0,,,,0,,35.4347715
600000000000225,200,BLK,,"PyQt4.QtCore.QDate(2003, 4, 11)",5210C,152A,5210C152A,152A,5210C152A,1,103.661475667,100.146143405,0,,,,0,,11.7851253
600000000208538,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",6587,007B,6587007B,7B,6587 007B,1,292.271946158,4199.27056442,4610 HOLABIRD AVE,,HOLABIRD,AVE,4610,,391.128247
600000000046157,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4624,025,4624025,25,4624 025,1,208.650293666,2225.29810545,3423 VIRGINIA AVE,,VIRGINIA,AVE,3423,,207.275781
600000000010483,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4493,154,4493154,154,4493 154,1,2729.94430275,50796.6909588,5890 1/2 PIMLICO ROAD,,PIMLICO,ROAD,5890,,4731.38312
600000000113063,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0298,105,0298105,105,0298 105,1,115.169779633,513.731624054,529 SENKER PL,,SENKER,PL,529,,47.8564708
600000000225119,160,BLK,,"PyQt4.QtCore.QDate(2003, 8, 7)",0283,048,0283048,48,0283 048,1,173.972865013,1585.42551699,304 PARKIN ST,,PARKIN,ST,304,,147.694595
600000000044639,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4620,025A,4620025A,25A,4620 025A,1,109.806549813,696.294219546,0,,,,0,,64.8681
600000000053249,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",8270,093,8270093,93,8270 093,1,351.683322646,6950.6249887,0,,,,0,,647.464528
600000000118459,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1496,041,1496041,41,1496 041,1,160.217329584,837.452529135,1417 N WOLFE ST,N,WOLFE,ST,1417,,77.984921
600000000213393,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1903C,005,1903C005,5,1903C005,1,798.744080658,9904.97155027,0,,,,0,,922.776326
600000000201770,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0818,035,0818035,35,0818 035,1,161.33579019,822.511109799,813 W OSTEND ST,W,OSTEND,ST,813,,76.6286357
600000000100332,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",3447,030B,3447030B,30B,3447 030B,1,255.409272219,2414.03787474,923 WHITELOCK ST,,WHITELOCK,ST,923,,224.860539
600000000140800,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0085,031,0085031,31,0085 031,1,228.21647768,1577.65932933,1703 W LAFAYETTE AVE,W,LAFAYETTE,AVE,1703,,146.7961
600000000162305,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0160,023,0160023,23,0160 023,1,227.519964726,1375.96098321,2145 W SARATOGA ST,W,SARATOGA,ST,2145,,128.084969
600000000052501,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",3357I,008,3357I008,8,3357I008,1,512.52719942,13006.053034,2323 DERBY ROAD,,DERBY,ROAD,2323,,1211.55379
600000000185946,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",6727,064,6727064,64,6727 064,1,297.142415672,3112.19263123,0,,,,0,,289.867085
600000000069826,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",3523,078,3523078,78,3523 078,1,93.5717416164,545.344233202,0,,,,0,,50.7925154
600000000175587,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0234,061,0234061,61/63,0234 061,1,181.904593089,1889.20734193,1110 NEWMAN CT,,NEWMAN,CT,1110,,176.021276
600000000150597,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1286,012,1286012,12,1286 012,1,183.13640024,1366.80362236,459 OLDTOWN MALL,,OLDTOWN,MALL,459,,127.321423
600000000119172,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1497,006,1497006,6,1497 006,1,161.013688955,936.349345661,1415 N GAY ST,N,GAY,ST,1415,,87.218343
600000000083275,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4131,030,4131030,30,4131 030,1,172.874804352,1127.13151027,1543 CARSWELL ST,,CARSWELL,ST,1543,,105.033329
600000000137993,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0393,044,0393044,44,0393 044,1,312.441483089,2261.13104095,1325 MYRTLE AVE,,MYRTLE,AVE,1325,,210.603255
