,blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate,lat,long
2167,1504 011,2401 E OLIVER ST,BROADWAY EAST,13,EASTERN,"(39.3077044814, -76.5841198762)",01/01/20315,39.3077044814,-76.5841198762
2168,4000 041,501 E 20TH ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3122934367, -76.6093329893)",01/01/42007,39.3122934367,-76.6093329893
2169,2249A051,74 N MONASTERY AVE,ALLENDALE,8,SOUTHWESTERN,"(39.287868718, -76.6771091289)",01/01/42408,39.287868718,-76.6771091289
2170,0258 036,2012 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.284334608, -76.6492792054)",01/01/60408,39.284334608,-76.6492792054
2171,0036A044,1305 N WOODYEAR ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3038244304, -76.6395226501)",01/01/10915,39.3038244304,-76.6395226501
2172,1590 084,928 N BRADFORD ST,MILTON-MONTFORD,13,EASTERN,"(39.3016978436, -76.5847610839)",01/01/70708,39.3016978436,-76.5847610839
2173,0148 046,1815 W MULBERRY ST,FRANKLIN SQUARE,9,WESTERN,"(39.2927596386, -76.6462118862)",01/01/50311,39.2927596386,-76.6462118862
2174,1639 054,617 N BRADFORD ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2982739896, -76.5842373588)",01/01/71813,39.2982739896,-76.5842373588
2175,4070A001,2565 GREENMOUNT AVE,BETTER WAVERLY,14,NORTHERN,"(39.3196481947, -76.6091978299)",01/01/30306,39.3196481947,-76.6091978299
2176,0699 084,1927 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2823207909, -76.6475156151)",01/01/12111,39.2823207909,-76.6475156151
2177,0698 006,410 S PAYSON ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2824777074, -76.6485016722)",01/01/41307,39.2824777074,-76.6485016722
2178,3447 043,2245 LINDEN AVE,RESERVOIR HILL,7,CENTRAL,"(39.3134698771, -76.6347343159)",01/01/52410,39.3134698771,-76.6347343159
2179,1625 020,739 N MILTON AVE,MILTON-MONTFORD,13,EASTERN,"(39.29965349, -76.5821123906)",01/01/72909,39.29965349,-76.5821123906
2180,1505 055,1417 N MILTON AVE,BEREA,13,EASTERN,"(39.3075485772, -76.5825136224)",01/01/10610,39.3075485772,-76.5825136224
2181,1448 104,1809 N CHAPEL ST,BROADWAY EAST,12,EASTERN,"(39.3112995315, -76.5908859175)",01/01/21115,39.3112995315,-76.5908859175
2182,0277 056,1621 MCHENRY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2841807235, -76.6430344376)",01/01/101609,39.2841807235,-76.6430344376
2183,0273 064,2017 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2839645718, -76.6492027885)",01/01/110305,39.2839645718,-76.6492027885
2184,0049 046,1936 RIGGS AVE,BRIDGEVIEW/GREENLAWN,9,WESTERN,"(39.3010474678, -76.6491934745)",01/01/102407,39.3010474678,-76.6491934745
2185,3212 088,2108 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.3114006132, -76.6520131241)",01/01/91407,39.3114006132,-76.6520131241
2186,1486 055,1518 N ROSE ST,BEREA,13,EASTERN,"(39.3085766031, -76.5824182239)",01/01/120211,39.3085766031,-76.5824182239
2187,4622 046,3109 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3456512835, -76.6700765658)",01/01/91605,39.3456512835,-76.6700765658
2188,0120 030,1815 EDMONDSON AVE,HARLEM PARK,9,WESTERN,"(39.2949461641, -76.646481823)",01/01/21412,39.2949461641,-76.646481823
2189,2545 024,4213 EUCLID AVE,IRVINGTON,8,SOUTHWESTERN,"(39.2822846813, -76.685828097)",01/01/112814,39.2822846813,-76.685828097
2190,0053 064,1520 RIGGS AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3012772606, -76.6424261248)",01/01/61008,39.3012772606,-76.6424261248
2191,3322 014,3826 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3326795624, -76.6617877755)",01/01/90908,39.3326795624,-76.6617877755
2192,0007 003,1704 N MONROE ST,EASTERWOOD,7,WESTERN,"(39.308035803, -76.6483255894)",01/01/22709,39.308035803,-76.6483255894
2193,5237 002R,1236 E BELVEDERE AVE,RAMBLEWOOD,4,NORTHEASTERN,"(39.3611262016, -76.5922017298)",01/01/32514,39.3611262016,-76.5922017298
2194,0020 086,1532 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3058535102, -76.6473449507)",01/01/13108,39.3058535102,-76.6473449507
2195,2378 002,803 N DUKELAND ST,MOSHER,9,WESTERN,"(39.2973847318, -76.662560921)",01/01/71006,39.2973847318,-76.662560921
2196,0094 029,2036 HARLEM AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2964769857, -76.6501412168)",01/01/50608,39.2964769857,-76.6501412168
2197,1774 002,2003 BANK ST,UPPER FELLS POINT,1,SOUTHEASTERN,"(39.2866000155, -76.5886424258)",01/01/123113,39.2866000155,-76.5886424258
2198,1101 026,1509 E NORTH AVE,OLIVER,12,EASTERN,"(39.311680888, -76.5980255842)",01/01/50510,39.311680888,-76.5980255842
2199,0050 095,1800 RIGGS AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3011398411, -76.6464841985)",01/01/42214,39.3011398411,-76.6464841985
2200,0204 024,2227 W BALTIMORE ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2877298671, -76.6522503915)",01/01/81707,39.2877298671,-76.6522503915
2201,1676 059,2818 ORLEANS ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2960200815, -76.5768696484)",01/01/103013,39.2960200815,-76.5768696484
2202,0300C079,1554 N WOODYEAR ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3068568597, -76.641456078)",01/01/61014,39.3068568597,-76.641456078
2203,3177A009,2916 SPRINGHILL AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3308657127, -76.6641029884)",01/01/70213,39.3308657127,-76.6641029884
2204,0392 053,810 W LANVALE ST,UPTON,11,CENTRAL,"(39.2984494252, -76.6334477819)",01/01/60206,39.2984494252,-76.6334477819
2205,0055D054,1107 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3014362678, -76.637174445)",01/01/30808,39.3014362678,-76.637174445
2206,3350A001,2500 W COLD SPRING LANE,PARKLANE,6,NORTHERN,"(39.340815808, -76.6617572381)",01/01/62707,39.340815808,-76.6617572381
2207,0190 065,16 N PULASKI ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2885941997, -76.6503765586)",01/01/41612,39.2885941997,-76.6503765586
2208,0097 036,731 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.2972084632, -76.6453552892)",01/01/22310,39.2972084632,-76.6453552892
2209,5165B034,5213 READY AVE,WOODBOURNE-MCCABE,4,NORTHERN,"(39.353351771, -76.6076816583)",01/01/72514,39.353351771,-76.6076816583
2210,4022 005,2109 HOMEWOOD AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3136899356, -76.606961606)",01/01/62912,39.3136899356,-76.606961606
2211,2285 010,402 N EDGEWOOD ST,ALLENDALE,8,SOUTHWESTERN,"(39.2920142816, -76.6756844913)",01/01/80212,39.2920142816,-76.6756844913
2212,3973D006,4211 IVANHOE AVE,PEN LUCY,4,NORTHERN,"(39.3412615933, -76.6042094544)",01/01/51812,39.3412615933,-76.6042094544
2213,4164 023,1411 CLIFTVIEW AVE,DARLEY PARK,14,EASTERN,"(39.3152292014, -76.5960754409)",01/01/41213,39.3152292014,-76.5960754409
2214,1169 055,1109 GREENMOUNT AVE,JOHNSTON SQUARE,12,EASTERN,"(39.3031406721, -76.6075047395)",01/01/110308,39.3031406721,-76.6075047395
2215,4578 014,3527 W BELVEDERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3467979314, -76.6787660104)",01/01/41309,39.3467979314,-76.6787660104
2216,0313 048,2021 PENNSYLVANIA AVE,UPTON,11,CENTRAL,"(39.3063217972, -76.6376750394)",01/01/12808,39.3063217972,-76.6376750394
