,blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate,lat,long
2217,1464 061,1710 N PORT ST,BROADWAY EAST,13,EASTERN,"(39.3102949992, -76.5839121587)",01/01/10915,39.3102949992,-76.5839121587
2218,1152 017,422 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,"(39.303876443, -76.6098622682)",01/01/110111,39.303876443,-76.6098622682
2219,1487 025,1501 N LUZERNE AVE,BEREA,13,EASTERN,"(39.3083650371, -76.5811684603)",01/01/102506,39.3083650371,-76.5811684603
2220,0064 056,1004 N CAREY ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3004783733, -76.6390394449)",01/01/92805,39.3004783733,-76.6390394449
2221,5267J017,1233 WOODBOURNE AVE,NEW NORTHWOOD,4,NORTHEASTERN,"(39.3537130718, -76.5966226487)",01/01/22015,39.3537130718,-76.5966226487
2222,1517 041,1328 N CHESTER ST,BROADWAY EAST,13,EASTERN,"(39.3063520538, -76.5885707831)",01/01/101707,39.3063520538,-76.5885707831
2223,3327C067,2544 DRUID PARK DR,PARK CIRCLE,6,NORTHWESTERN,"(39.3276665776, -76.6564781008)",01/01/42414,39.3276665776,-76.6564781008
2224,7419C010,2025 ANNAPOLIS ROAD,WESTPORT,10,SOUTHERN,"(39.2663839042, -76.6315856413)",01/01/102210,39.2663839042,-76.6315856413
2225,0767 079,1302 SARGEANT ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2808604391, -76.6363095113)",01/01/120106,39.2808604391,-76.6363095113
2226,0272 073,300 S PULASKI ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2837971713, -76.6500627041)",01/01/112913,39.2837971713,-76.6500627041
2227,4130 023,1639 ABBOTSTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3222560633, -76.5938588315)",01/01/10907,39.3222560633,-76.5938588315
2228,1463 020,1737 N PATTERSON PARK AVE,BROADWAY EAST,13,EASTERN,"(39.3108154348, -76.5855972472)",01/01/102711,39.3108154348,-76.5855972472
2229,0695 025,554 S BENTALOU ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2805244156, -76.6522853417)",01/01/41707,39.2805244156,-76.6522853417
2230,2174A077D,209 S CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2844668844, -76.6557251927)",01/01/92611,39.2844668844,-76.6557251927
2231,3228A039,2842 WOODBROOK AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.3144200078, -76.6464955712)",01/01/33006,39.3144200078,-76.6464955712
2232,1099A050,1827 AISQUITH ST,OLIVER,12,EASTERN,"(39.3111262859, -76.6023512857)",01/01/72511,39.3111262859,-76.6023512857
2233,7190 017,4827 PENNINGTON AVE,CURTIS BAY,10,SOUTHERN,"(39.2224055091, -76.5879365651)",01/01/21915,39.2224055091,-76.5879365651
2234,0102 002,702 N CARROLLTON AVE,HARLEM PARK,9,WESTERN,"(39.2968828223, -76.6375377834)",01/01/30409,39.2968828223,-76.6375377834
2235,7958 021,1102 WALNUT AVE,ROGNEL HEIGHTS,8,SOUTHWESTERN,"(39.2966715946, -76.6920652639)",01/01/32015,39.2966715946,-76.6920652639
2236,1125 063,1511 N EDEN ST,OLIVER,12,EASTERN,"(39.307606267, -76.5994624409)",01/01/72514,39.307606267,-76.5994624409
2237,1132 017,1420 AISQUITH ST,OLIVER,12,EASTERN,"(39.306578047, -76.6025652137)",01/01/52507,39.306578047,-76.6025652137
2238,2243A013,265 MCCURLEY ST,SAINT JOSEPHS,8,SOUTHWESTERN,"(39.2822650648, -76.6735507183)",01/01/122713,39.2822650648,-76.6735507183
2239,5902 019,3040 MAYFIELD AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.3213685209, -76.5710012752)",01/01/50113,39.3213685209,-76.5710012752
2240,0303 047,502 GOLD ST,DRUID HEIGHTS,7,CENTRAL,"(39.3089474109, -76.6377937925)",01/01/111210,39.3089474109,-76.6377937925
2241,4153 072,2826 LAKE AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.3237652583, -76.5733131962)",01/01/80814,39.3237652583,-76.5733131962
2242,0212 025,1619 FREDERICK AVE,UNION SQUARE,9,SOUTHERN,"(39.2878714685, -76.6429997436)",01/01/90605,39.2878714685,-76.6429997436
2243,3808 031,102 E 20TH ST,BARCLAY,12,NORTHERN,"(39.3125048741, -76.6143380262)",01/01/30515,39.3125048741,-76.6143380262
2244,0623 012,101 N CHARLES ST,DOWNTOWN,11,CENTRAL,"(39.2905467555, -76.6149290966)",01/01/120113,39.2905467555,-76.6149290966
2245,3417 114,2427 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.3121328039, -76.639684198)",01/01/41206,39.3121328039,-76.639684198
2246,0179 035,1720 W FAYETTE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2897471841, -76.6447409022)",01/01/33108,39.2897471841,-76.6447409022
2247,0074 057,1624 W LAFAYETTE AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2991383706, -76.6441265468)",01/01/10915,39.2991383706,-76.6441265468
2248,0207 028,3 S PAYSON ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2876566461, -76.6483852435)",01/01/21408,39.2876566461,-76.6483852435
2249,2377A073,2739 RAYNER AVE,MOSHER,9,WESTERN,"(39.2960675673, -76.6620735296)",01/01/61009,39.2960675673,-76.6620735296
2250,4021C036,717 BARTLETT AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3157991077, -76.6061823636)",01/01/92810,39.3157991077,-76.6061823636
2251,7883 007,2212 W HAMBURG ST,SAINT PAUL,10,SOUTHERN,"(39.2690032672, -76.6443007506)",01/01/73114,39.2690032672,-76.6443007506
2252,0205 045,2112 HOLLINS ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2871704155, -76.6504458412)",01/01/10711,39.2871704155,-76.6504458412
2253,0112 011,620 N CAREY ST,HARLEM PARK,9,WESTERN,"(39.296050268, -76.6388559463)",01/01/32509,39.296050268,-76.6388559463
2254,4587 016,3040 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3482786042, -76.6724424436)",01/01/72610,39.3482786042,-76.6724424436
2255,2275C038,10 N MORLEY ST,SAINT JOSEPHS,8,SOUTHWESTERN,"(39.2872634617, -76.6740176595)",01/01/12712,39.2872634617,-76.6740176595
2256,1131 011,1020 E HOFFMAN ST,OLIVER,12,EASTERN,"(39.306266408, -76.6032217305)",01/01/40809,39.306266408,-76.6032217305
2257,2171 067,2502 HOLLINS ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2869284793, -76.6565942435)",01/01/42909,39.2869284793,-76.6565942435
2258,1622 010,736 N PATTERSON PARK AVE,MIDDLE EAST,13,EASTERN,"(39.2994752911, -76.5854435957)",01/01/52308,39.2994752911,-76.5854435957
2259,0190 087,2120 W FAIRMOUNT AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2888473761, -76.6507942021)",01/01/32615,39.2888473761,-76.6507942021
2260,4071 059,2702 BOONE ST,BETTER WAVERLY,14,NORTHERN,"(39.3212646328, -76.6088615296)",01/01/42808,39.3212646328,-76.6088615296
2261,4606 052,4734 WILERN AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3440079716, -76.6741633606)",01/01/11708,39.3440079716,-76.6741633606
2262,4013A001,1000 E 20TH ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312927392, -76.6051011478)",01/01/32406,39.312927392,-76.6051011478
2263,4629 016,3130 OAKFORD AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3407133742, -76.666569447)",01/01/71114,39.3407133742,-76.666569447
2264,0338 030,565 LAURENS ST,UPTON,11,CENTRAL,"(39.3046529056, -76.6347722759)",01/01/62308,39.3046529056,-76.6347722759
2265,1686 003,2031 ORLEANS ST,CARE,13,SOUTHEASTERN,"(39.2951821431, -76.5882700956)",01/01/80211,39.2951821431,-76.5882700956
2266,5902 018,3038 MAYFIELD AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.3214034338, -76.5710495537)",01/01/121713,39.3214034338,-76.5710495537
2267,4001 033,721 E 20TH ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3123758105, -76.6076825277)",01/01/62007,39.3123758105,-76.6076825277
2268,1629 018F,722 N CURLEY ST,MADISON-EASTEND,13,EASTERN,"(39.2997839931, -76.5761722697)",01/01/62708,39.2997839931,-76.5761722697
2269,0192 066,21 N PAYSON ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2890318706, -76.6484771808)",01/01/62006,39.2890318706,-76.6484771808
2270,3232A006,2911 PARKWOOD AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.316116012, -76.6468221551)",01/01/32610,39.316116012,-76.6468221551
2271,1553 054,2213 E BIDDLE ST,MIDDLE EAST,13,EASTERN,"(39.3044151595, -76.5865680597)",01/01/10506,39.3044151595,-76.5865680597
2272,2854 018,3913 CARLISLE AVE,WINDSOR HILLS,6,NORTHWESTERN,"(39.3183301866, -76.6840087732)",01/01/11912,39.3183301866,-76.6840087732
2273,6125 039,4777 ELISON AVE,PARKSIDE,2,NORTHEASTERN,"(39.3224533063, -76.5535079261)",01/01/31815,39.3224533063,-76.5535079261
2274,1673 019,441 N MILTON AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2964517482, -76.5818930934)",01/01/33109,39.2964517482,-76.5818930934
2275,1446 011,1821 N BROADWAY,BROADWAY EAST,12,EASTERN,"(39.3111995245, -76.5946967173)",01/01/120106,39.3111995245,-76.5946967173
2276,0055C047,1136 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3019971217, -76.6377171381)",01/01/110904,39.3019971217,-76.6377171381
2277,0063 008,1414 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3002442245, -76.6406494967)",01/01/120612,39.3002442245,-76.6406494967
2278,3936 106,2764 FENWICK AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3236485931, -76.5909453088)",01/01/12712,39.3236485931,-76.5909453088
2279,0293 061,726 CUMBERLAND ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3083524863, -76.6433251931)",01/01/110804,39.3083524863,-76.6433251931
2280,3935 114,2764 TIVOLY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3229569235, -76.5917584675)",01/01/111312,39.3229569235,-76.5917584675
2281,0160 001,2101 W SARATOGA ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2916579189, -76.6504079386)",01/01/11312,39.2916579189,-76.6504079386
2282,0102 034,719 N CAREY ST,HARLEM PARK,9,WESTERN,"(39.2972333353, -76.6383192348)",01/01/82510,39.2972333353,-76.6383192348
2283,1108 085,1705 N DALLAS ST,OLIVER,12,EASTERN,"(39.3098813109, -76.5974719706)",01/01/11607,39.3098813109,-76.5974719706
2284,3826 044,2456 BRENTWOOD AVE,BARCLAY,12,EASTERN,"(39.3173780354, -76.6106575942)",01/01/90712,39.3173780354,-76.6106575942
2285,1474 038,1630 N PORT ST,BROADWAY EAST,13,EASTERN,"(39.3098406903, -76.583885961)",01/01/11708,39.3098406903,-76.583885961
2286,0235 055,1004 W LOMBARD ST,HOLLINS MARKET,9,SOUTHERN,"(39.2869221025, -76.6339199578)",01/01/72513,39.2869221025,-76.6339199578
2287,2472 016,2915 W LANVALE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2969247091, -76.6658615936)",01/01/72505,39.2969247091,-76.6658615936
2288,0122 022,1607 EDMONDSON AVE,HARLEM PARK,9,WESTERN,"(39.2950793485, -76.6430509135)",01/01/11206,39.2950793485,-76.6430509135
2289,0977 006,1330 S CHARLES ST,SOUTH BALTIMORE,11,SOUTHERN,"(39.2739610083, -76.6145093873)",01/01/22814,39.2739610083,-76.6145093873
2290,1728 028,34 N KENWOOD AVE,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,"(39.2931134233, -76.5779156707)",01/01/21814,39.2931134233,-76.5779156707
2291,0008 044,1704 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3080603513, -76.6474703666)",01/01/111104,39.3080603513,-76.6474703666
2292,1708 012,123 N MONTFORD AVE,PATTERSON PLACE,1,SOUTHEASTERN,"(39.2936077952, -76.5831439683)",01/01/32515,39.2936077952,-76.5831439683
2293,2717A003,4014 W COLD SPRING LANE,DORCHESTER,6,NORTHWESTERN,"(39.3352962018, -76.6852378282)",01/01/41013,39.3352962018,-76.6852378282
2294,0271 028,354 S SMALLWOOD ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2830622272, -76.6514177039)",01/01/41912,39.2830622272,-76.6514177039
2295,1501 002,2102 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.3068572303, -76.5881683092)",01/01/63008,39.3068572303,-76.5881683092
2296,0097 049,705 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.2966534932, -76.6453173306)",01/01/42209,39.2966534932,-76.6453173306
2297,1149A037,1308 N SPRING ST,OLIVER,12,EASTERN,"(39.3056024554, -76.5990028545)",01/01/10708,39.3056024554,-76.5990028545
2298,4613 007,4903 PALMER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3474135801, -76.6714770693)",01/01/91409,39.3474135801,-76.6714770693
2299,1177 028,1117 1/2 N CAROLINE ST,GAY STREET,12,EASTERN,"(39.303662773, -76.5975319788)",01/01/12814,39.303662773,-76.5975319788
2300,4059A008,714 MCKEWIN AVE,WAVERLY,14,NORTHERN,"(39.3329985639, -76.605518821)",01/01/102811,39.3329985639,-76.605518821
2301,0393 056,1301 MYRTLE AVE,UPTON,11,CENTRAL,"(39.2991055995, -76.6323525282)",01/01/71709,39.2991055995,-76.6323525282
2302,3244 029,2233 OREM AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.3157355633, -76.6476212446)",01/01/110305,39.3157355633,-76.6476212446
2303,0114 028,617 N CARROLLTON AVE,HARLEM PARK,9,WESTERN,"(39.2960297406, -76.636797379)",01/01/22515,39.2960297406,-76.636797379
2304,2448 003,1214 N LONGWOOD ST,WINCHESTER,9,SOUTHWESTERN,"(39.3017276057, -76.6676151086)",01/01/50209,39.3017276057,-76.6676151086
2305,3973 001,900 E 41ST ST,PEN LUCY,4,NORTHERN,"(39.3400151042, -76.6034682268)",01/01/80813,39.3400151042,-76.6034682268
2306,4171 179,1971 N COLLINGTON AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.3141153293, -76.5873667364)",01/01/110106,39.3141153293,-76.5873667364
2307,0064 011,1320 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3003507234, -76.6394102053)",01/01/82207,39.3003507234,-76.6394102053
2308,0107 039,625 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2959599086, -76.6488256679)",01/01/50709,39.2959599086,-76.6488256679
2309,3732A035,200 E UNIVERSITY PKWY,OAKENSHAWE,14,NORTHERN,"(39.3310086641, -76.6147905765)",01/01/52313,39.3310086641,-76.6147905765
2310,1104 050,426 E LANVALE ST,GREENMOUNT WEST,12,EASTERN,"(39.3091811353, -76.6096795287)",01/01/31815,39.3091811353,-76.6096795287
2311,0327 018,1834 DIVISION ST,UPTON,11,CENTRAL,"(39.3055085773, -76.6353465914)",01/01/112112,39.3055085773,-76.6353465914
2312,4580 026,3326 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3468733538, -76.6775228017)",01/01/22912,39.3468733538,-76.6775228017
2313,3454 008,2311 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.313993039, -76.6310636606)",01/01/111306,39.313993039,-76.6310636606
2314,0720 032,1821 EAGLE ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2808554994, -76.6455707236)",01/01/112006,39.2808554994,-76.6455707236
2315,0276 037,353 S FULTON AVE,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2833421151, -76.6446888899)",01/01/101609,39.2833421151,-76.6446888899
2316,0049 007,1112 N MONROE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.3012302622, -76.6479116856)",01/01/42310,39.3012302622,-76.6479116856
2317,0275 020,338 S FULTON AVE,CARROLLTON RIDGE,9,SOUTHERN,"(39.2833950876, -76.6451461662)",01/01/80411,39.2833950876,-76.6451461662
2318,3327C005,3461 COTTAGE AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3280124547, -76.6569936991)",01/01/30310,39.3280124547,-76.6569936991
2319,1448 068,1821 N WOLFE ST,BROADWAY EAST,12,EASTERN,"(39.311516432, -76.5914351832)",01/01/21411,39.311516432,-76.5914351832
2320,2170B053,2525 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2881391112, -76.6572175694)",01/01/30211,39.2881391112,-76.6572175694
2321,1503 008,1415 N PATTERSON PARK AVE,BROADWAY EAST,13,EASTERN,"(39.3071624015, -76.5853833521)",01/01/91807,39.3071624015,-76.5853833521
2322,3003 013,3024 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.3093048355, -76.6683588445)",01/01/110404,39.3093048355,-76.6683588445
2323,0260 061,1808 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2844654625, -76.6455147252)",01/01/10408,39.2844654625,-76.6455147252
2324,3936 073,1711 E 28TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3236548861, -76.5911693348)",01/01/12314,39.3236548861,-76.5911693348
2325,3965 024,1601 E 33RD ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3280782801, -76.5935651559)",01/01/21611,39.3280782801,-76.5935651559
2326,0050 016,1130 N FULTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.301590021, -76.646268478)",01/01/111705,39.301590021,-76.646268478
2327,1522 084,2609 GROGAN AVE,BEREA,13,EASTERN,"(39.3062952616, -76.5807463)",01/01/10807,39.3062952616,-76.5807463
2328,1463 014,1725 N PATTERSON PARK AVE,BROADWAY EAST,13,EASTERN,"(39.3105690433, -76.5855809964)",01/01/102511,39.3105690433,-76.5855809964
2329,0119 080,1929 LAURETTA AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2942677614, -76.6484092181)",01/01/42909,39.2942677614,-76.6484092181
2330,2491 008,4114 EDMONDSON AVE,EDMONDSON VILLAGE,8,SOUTHWESTERN,"(39.2939677557, -76.6847387261)",01/01/21115,39.2939677557,-76.6847387261
2331,1277 014,524 OLDTOWN MALL,OLDTOWN,12,EASTERN,"(39.2967727769, -76.6036384725)",01/01/110911,39.2967727769,-76.6036384725
2332,4175 008,1957 N PATTERSON PARK AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.313935482, -76.5858825709)",01/01/21114,39.313935482,-76.5858825709
2333,1529 016,1230 N GAY ST,BROADWAY EAST,12,EASTERN,"(39.304793411, -76.5935800822)",01/01/82107,39.304793411,-76.5935800822
2334,0151 041,304 N STRICKER ST,FRANKLIN SQUARE,9,WESTERN,"(39.2923364574, -76.641436353)",01/01/42210,39.2923364574,-76.641436353
2335,2470 063,927 N FRANKLINTOWN ROAD,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2985682544, -76.666778764)",01/01/71708,39.2985682544,-76.666778764
2336,2243C010,147 S MORLEY ST,SAINT JOSEPHS,8,SOUTHWESTERN,"(39.2841907199, -76.676452656)",01/01/70711,39.2841907199,-76.676452656
2337,1446 065,1726 E LAFAYETTE AVE,BROADWAY EAST,12,EASTERN,"(39.3108873696, -76.5936208402)",01/01/80114,39.3108873696,-76.5936208402
2338,0185 065,1109 W LEXINGTON ST,POPPLETON,9,WESTERN,"(39.2907527515, -76.6364122042)",01/01/62508,39.2907527515,-76.6364122042
2339,4137 075,2836 THE ALAMEDA,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3241812489, -76.5937709033)",01/01/22715,39.3241812489,-76.5937709033
2340,0117 019,536 N PULASKI ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2944847978, -76.6506717171)",01/01/82109,39.2944847978,-76.6506717171
2341,1468 025,1903 E LANVALE ST,BROADWAY EAST,12,EASTERN,"(39.3095438429, -76.5910890797)",01/01/21308,39.3095438429,-76.5910890797
2342,0021 047,1533 N FULTON AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.305983723, -76.6458844678)",01/01/72010,39.305983723,-76.6458844678
2343,1477 063,1732 E OLIVER ST,BROADWAY EAST,12,EASTERN,"(39.3077265192, -76.593274704)",01/01/61208,39.3077265192,-76.593274704
2344,1673 024,451 N MILTON AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2966360428, -76.5819007155)",01/01/102412,39.2966360428,-76.5819007155
2345,7096 038,3705 8TH ST,BROOKLYN,10,SOUTHERN,"(39.2338552535, -76.5997337858)",01/01/22015,39.2338552535,-76.5997337858
2346,2454C020,3038 BELMONT AVE,ROSEMONT,9,SOUTHWESTERN,"(39.3036931834, -76.6685860438)",01/01/102108,39.3036931834,-76.6685860438
2347,2377C028,607 N DUKELAND ST,MOSHER,9,WESTERN,"(39.2950182517, -76.662771109)",01/01/121014,39.2950182517,-76.662771109
2348,4747 015,2716 OAKLEY AVE,CYLBURN,6,NORTHERN,"(39.3491560028, -76.6647279265)",01/01/21315,39.3491560028,-76.6647279265
2349,4071 064,2707 BOONE ST,BETTER WAVERLY,14,NORTHERN,"(39.321321315, -76.6084083377)",01/01/22715,39.321321315,-76.6084083377
2350,1099A048,1831 AISQUITH ST,OLIVER,12,EASTERN,"(39.3112025644, -76.6023555157)",01/01/12915,39.3112025644,-76.6023555157
2351,0273 090,2017 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2834461014, -76.6491684176)",01/01/81111,39.2834461014,-76.6491684176
2352,4544D017,5233 SAINT CHARLES AVE,ARLINGTON,5,NORTHWESTERN,"(39.3450448181, -76.6833244497)",01/01/70313,39.3450448181,-76.6833244497
2353,7447 009,2322 ANNAPOLIS ROAD,WESTPORT,10,SOUTHERN,"(39.2625116596, -76.6346192302)",01/01/92513,39.2625116596,-76.6346192302
2354,6766 001,6601 GARY AVE,GRACELAND PARK,1,SOUTHEASTERN,"(39.2797585072, -76.5356817965)",01/01/31615,39.2797585072,-76.5356817965
2355,0320 062,1928 DIVISION ST,UPTON,11,CENTRAL,"(39.3062865766, -76.6363441726)",01/01/51707,39.3062865766,-76.6363441726
2356,3803 029,337 E 20TH ST,BARCLAY,12,EASTERN,"(39.3122096329, -76.6112496759)",01/01/111210,39.3122096329,-76.6112496759
2357,3004 054,2917 WALBROOK AVE,WALBROOK,7,SOUTHWESTERN,"(39.3099998963, -76.66638508)",01/01/21315,39.3099998963,-76.66638508
2358,4605A012,4945 EDGEMERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3453410817, -76.6745764536)",01/01/91313,39.3453410817,-76.6745764536
2359,3973D009,4217 IVANHOE AVE,PEN LUCY,4,NORTHERN,"(39.341408268, -76.6042803112)",01/01/30206,39.341408268,-76.6042803112
2360,0265 093,1313 KUPER ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2848280732, -76.6389454707)",01/01/20808,39.2848280732,-76.6389454707
2361,0469 003,807 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.2959199678, -76.6312982273)",01/01/111004,39.2959199678,-76.6312982273
2362,2401B033,1717 ASHBURTON ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.3077781807, -76.6618618836)",01/01/32515,39.3077781807,-76.6618618836
2363,1464 021,1734 N MILTON AVE,BROADWAY EAST,13,EASTERN,"(39.3107810947, -76.5832850423)",01/01/120610,39.3107810947,-76.5832850423
2364,2409A012,2948 PRESSTMAN ST,ROSEMONT,9,SOUTHWESTERN,"(39.304767377, -76.6669439071)",01/01/62013,39.304767377,-76.6669439071
2365,1450 025,1849 N CHESTER ST,BROADWAY EAST,12,EASTERN,"(39.3120138344, -76.5884171783)",01/01/40914,39.3120138344,-76.5884171783
2366,5907 029,3039 KENYON AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.3242199989, -76.5680704403)",01/01/30615,39.3242199989,-76.5680704403
2367,4149H021,3303 PARKLAWN AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.323587376, -76.5759651768)",01/01/121610,39.323587376,-76.5759651768
2368,0780 119,1148 WARD ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.281752449, -76.6331530837)",01/01/41713,39.281752449,-76.6331530837
2369,0210 001,1621 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,"(39.288094023, -76.643633506)",01/01/71114,39.288094023,-76.643633506
2370,2169 056,2753 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2883251265, -76.6607320498)",01/01/40414,39.2883251265,-76.6607320498
2371,3326 052,3409 REISTERSTOWN ROAD,PARK CIRCLE,6,NORTHWESTERN,"(39.3270102433, -76.6584442765)",01/01/60711,39.3270102433,-76.6584442765
2372,2178 052,2602 FREDERICK AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2825701693, -76.65753376)",01/01/71814,39.2825701693,-76.65753376
2373,2960 010,3819 RIDGEWOOD AVE,DOLFIELD,6,NORTHWESTERN,"(39.336597807, -76.6811439403)",01/01/13015,39.336597807,-76.6811439403
2374,0078 012,905 N CAREY ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2995143992, -76.638470533)",01/01/51410,39.2995143992,-76.638470533
2375,0020 048,1509 N MONROE ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3057919088, -76.6476681368)",01/01/52711,39.3057919088,-76.6476681368
2376,1458 002,1703 N WOLFE ST,BROADWAY EAST,12,EASTERN,"(39.3100753891, -76.5913455507)",01/01/32009,39.3100753891,-76.5913455507
2377,0720 040,1805 EAGLE ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2808677207, -76.6452337863)",01/01/70613,39.2808677207,-76.6452337863
2378,0092 008,822 N FREMONT AVE,HARLEM PARK,9,WESTERN,"(39.2987872167, -76.6345660976)",01/01/12306,39.2987872167,-76.6345660976
2379,0153 028,325 N CALHOUN ST,FRANKLIN SQUARE,9,WESTERN,"(39.2928229144, -76.6394966572)",01/01/122713,39.2928229144,-76.6394966572
2380,0248 020,103 S CALHOUN ST,UNION SQUARE,9,SOUTHERN,"(39.2860867341, -76.6392638035)",01/01/51513,39.2860867341,-76.6392638035
2381,0227 052,42 S FULTON AVE,CARROLLTON RIDGE,9,SOUTHERN,"(39.2866376401, -76.6454515639)",01/01/71213,39.2866376401,-76.6454515639
2382,0265 038,237 S CALHOUN ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.284679254, -76.6391280679)",01/01/21507,39.284679254,-76.6391280679
2383,3022 023,3004 CLIFTON AVE,WALBROOK,7,SOUTHWESTERN,"(39.311501963, -76.6683216803)",01/01/32712,39.311501963,-76.6683216803
2384,2322 038,2205 BAKER ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.3061886619, -76.6531223133)",01/01/102214,39.3061886619,-76.6531223133
2385,2230C009,3000 W BALTIMORE ST,CARROLL-SOUTH HILTON,9,SOUTHWESTERN,"(39.2860809316, -76.6684095946)",01/01/20309,39.2860809316,-76.6684095946
2386,0008 026,1713 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3082086775, -76.6469780007)",01/01/20606,39.3082086775,-76.6469780007
